[0]501 Lionfish 11/Nov/2007     Chapter One     The Worst BirthdayContents   Next Chapter
[1]791    Not for the first time, an argument had broken out over breakfast at number four, Privet Drive
[7785]263  'Aunt Petunia nodded
[7786]7675   Uncle Vernon looked from Aunt Petunia to Dudley to Harry as if hoping somebody was going to shout April Fool
[7787]1340  ' When nobody did, he opened his mouth yet again, but was spared the struggle to find more words by the arrival of the third owl of the evening
[7788]1658    It zoomed through the still-open window like a feathery cannon-ball and landed with a clatter on the kitchen table, causing all three of the Dursleys to jump with fright
[7789]12004    Harry tore a second official-looking envelope from the owl's beak and ripped it open as the owl swooped back out into the night
[7790]64   Enough-effing-owls
[7791]0   
[7792]0   
[7793]704   ' muttered Uncle Vernon distractedly, stomping over to the window and slamming it shut again
[7794]462   Dear Mr
[7795]1602    Potter,Further to our letter of approximately twenty-two minutes ago, the Ministry of Magic has revised its decision to destroy your wand forthwith
[7796]1159    You may retain your wand until your disciplinary hearing on the twelfth of August, at which time an official decision will be taken
[7797]1477   Following discussions with the Headmaster of Hogwarts School of Witchcraft and Wizardry, the Ministry has agreed that the question of your expulsion will also be decided at that time
[7798]250    You should therefore consider yourself suspended from school pending further enquiries
[7799]764   With best wishes,Yours sincerely,Mafalda HopkirkImproper Use of Magic OfficeMinistry of MagicHarry read this letter through three times in quick succession
[7800]444    The miserable knot in his chest loosened slightly with the relief of knowing he was not yet definitely expelled, though his fears were by no means banished
[7801]101    Everything seemed to hang on this hearing on the twelfth of August
[7802]0   Well
[7803]11134  ' said Uncle Vernon, recalling Harry to his surroundings
[7804]0    What now
[7805]3   Have they sentenced you to anything
[7806]261   Do your lot have the death penalty
[7807]106  ' he added as a hopeful afterthought
[7808]12264   I've got to go to a hearing,' said Harry
[7809]581   And they'll sentence you there
[7810]63  'I suppose so
[7811]7911   'I won't give up hope, then,' said Uncle Vernon nastily
[7812]15925   Well, if that's all,' said Harry, getting to his feet
[7813]4952    He was desperate to be alone, to think, perhaps to send a letter to Ron, Hermione or Sirius
[7814]12   NO, IT RUDDY WELL IS NOT ALL
[7815]345  ' bellowed Uncle Vernon
[7816]43    SIT BACK DOWN
[7817]0  'What now
[7818]10863  ' said Harry impatiently
[7819]156   DUDLEY
[7820]358  ' roared Uncle Vernon
[7821]1390    I want to know exactly what happened to my son
[7822]75  'FINE
[7823]7053  ' yelled Harry, and in his temper, red and gold sparks shot out of the end of his wand, still clutched in his hand
[7824]713    All three Dursleys flinched, looking terrified
[7825]11278   Dudley and I were in the alleyway between Magnolia Crescent and Wisteria Walk,' said Harry, speaking fast, fighting to control his temper
[7826]4562    Dudley thought he'd be smart with me, I pulled out my wand but didn't use it
[7827]417    Then two dementors turned up-'But what ARE Dementoids
[7828]716  ' asked Uncle Vernon furiously
[7829]0    What do they DO
[7830]11229  'I told you-they suck all the happiness out of you,' said Harry, and if they get the chance, they kiss you-'Kiss you
[7831]6058  ' said Uncle Vernon, his eyes popping slightly
[7832]9    Kiss you
[7833]4942  'It's what they call it when they suck the soul out of your mouth
[7834]267   'Aunt Petunia uttered a soft scream
[7835]8   His soul
[7836]8882   They didn't take-he's still got his-'She seized Dudley by the shoulders and shook him, as though testing to see whether she could hear his soul rattling around inside him
[7837]15153   Of course they didn't get his soul, you'd know if they had,' said Harry, exasperated
[7838]772   Fought em off, did you, son
[7839]5789  ' said Uncle Vernon loudly, with the appearance of a man struggling to bring the conversation back on to a plane he understood
[7840]1130    Gave em the old one-two, did you
[7841]13408  'You can't give a Dementor the old one-two,' said Harry through clenched teeth
[7842]5307   Why's he all right, then
[7843]314  ' blustered Uncle Vernon
[7844]2409    Why isn't he all empty, then
[7845]98  'Because I used the Patronus-'WHOOSH
[7846]587    With a clattering, a whirring of wings and a soft fall of dust, a fourth owl came shooting out of the kitchen fireplace
[7847]4770   FOR GOD'S SAKE
[7848]4183  ' roared Uncle Vernon, pulling great clumps of hair out of his moustache, something he hadn't been driven to do in a long time
[7849]398    I WILL NOT HAVE OWLS HERE, I WILL NOT TOLERATE THIS, I TELL YOU
[7850]10828  'But Harry was already pulling a roll of parchment from the owl's leg
[7851]1389    He was so convinced that this letter had to be from Dumbledore, explaining everything-the dementors, Mrs
[7852]7215    Figg, what the Ministry was up to, how he, Dumbledore, intended to sort everything out-that for the first time in his life he was disappointed to see Sirius's handwriting
[7853]12549    Ignoring Uncle Vernons ongoing rant about owls, and narrowing his eyes against a second cloud of dust as the most recent owl took off back up the chimney, Harry read Sirius's message
[7854]6089   Arthur has just told us what's happened
[7855]3275    Don't leave the house again, whatever you do
[7856]7215   Harry found this such an inadequate response to everything that had happened tonight that he turned the piece of parchment over, looking for the rest of the letter, but there was nothing else
[7857]63   And now his temper was rising again
[7858]3408    Wasn't anybody going to say well done' for fighting off two dementors single-handed
[7859]372   Both Mr
[7860]1949    Weasley and Sirius were acting as though he'd misbehaved, and were saving their tellings-off until they could ascertain how much damage had been done
[7861]539   -a peck, I mean, pack of owls shooting in and out of my house
[7862]18923    I won't have it, boy, I won't-'I can't stop the owls coming,' Harry snapped, crushing Sirius's letter in his fist
[7863]563   I want the truth about what happened tonight
[7864]326  ' barked Uncle Vernon
[7865]1390    If it was demenders who hurt Dudley, how come you've been expelled
[7866]2140   You did you-know-what, you've admitted, it
[7867]6112  'Harry took a deep, steadying breath
[7868]503    His head was beginning to ache again
[7869]673    He wanted more than anything to get out of the kitchen, and away from the Dursleys
[7870]6004   I did the Patronus Charm to get rid of the dementors,' he said, forcing himself to remain calm
[7871]4948    It's the only thing that works against them
[7872]489   'But what were Dementoids doing in Little Whinging
[7873]5435  ' said Uncle Vernon in an outraged tone
[7874]13599   Couldn't tell you,' said Harry wearily
[7875]111    No idea
[7876]515   'His head was pounding in the glare of the strip-lighting now
[7877]387    His anger was ebbing away
[7878]301    He felt drained, exhausted
[7879]249    The Dursleys were all staring at him
[7880]10161   It's you,' said Uncle Vernon forcefully
[7881]6343    It's got something to do with you, boy, I know it
[7882]70    Why else would they turn up here
[7883]19   Why else would they be down that alleyway
[7884]4364   You've got to be the only-the only-' Evidently, he couldn't bring himself to say the word wizard'
[7885]787    The only you-know-what for miles
[7886]3712   'I don't know why they were here
[7887]15837   'But at Uncle Vernon's words, Harry's exhausted brain had ground back into action
[7888]824    Why had the dementors come to Little Whinging
[7889]5823   How could it be coincidence that they had arrived in the alleyway where Harry was
[7890]78   Had they been sent
[7891]610   Had the Ministry of Magic lost control of the dementors
[7892]1169   Had they deserted Azkaban and joined Voldemort, as Dumbledore had predicted they would
[7893]40  These demembers guard some weirdo prison
[7894]11620  ' asked Uncle Vernon, lumbering along in the wake of Harry's train of thought
[7895]11110   Yes,' said Harry
[7896]2561   If only his head would stop hurting, if only he could just leave the kitchen and get to his dark bedroom and think
[7897]0   
[7898]0   
[7899]0   
[7900]3   Oho
[7901]113   They were coming to arrest you
[7902]5706  ' said Uncle Vernon, with the triumphant air of a man reaching an unassailable conclusion
[7903]7291    That's it, isn't it, boy
[7904]87   You're on the run from the law
[7905]12266  'Of course I'm not,' said Harry, shaking his head as though to scare off a fly, his mind racing now
[7906]0   Then why-
[7907]11344  'He must have sent them,' said Harry quietly, more to himself than to Uncle Vernon
[7908]4750   What's that
[7909]78   Who must have sent them
[7910]11138  'Lord Voldemort,' said Harry
[7911]2939   He registered dimly how strange it was that the Dursleys, who flinched, winced and squawked if they heard words like wizard', magic' or wand', could hear the name of the most evil wizard of all time without the slightest tremor
[7912]7095   Lord-hang on,' said Uncle Vernon, his face screwed up, a look of dawning comprehension coming into his piggy eyes
[7913]964    I've heard that name 
[7914]0   
[7915]0   
[7916]0    that was the one who
[7917]0   
[7918]0   
[7919]11205   'Murdered my parents, yes,' Harry said dully
[7920]20974   But he's gone,' said Uncle Vernon impatiently, without the slightest sign that the murder of Harry's parents might be a painful topic
[7921]5152    That giant bloke said so
[7922]4879    He's gone
[7923]15616   'He's back,' said Harry heavily
[7924]6418   It felt very strange to be standing here in Aunt Petunia's surgically clean kitchen, beside the top-of-the-range fridge and the wide-screen television, talking calmly of Lord Voldemort to Uncle Vernon
[7925]1134    The arrival of the dementors in Little Whinging seemed to have breached the great, invisible wall that divided the relentlessly non-magical world of Privet Drive and the world beyond
[7926]11503    Harry's two lives had somehow become fused and everything had been turned upside-down; the Dursleys were asking for details about the magical world, and Mrs
[7927]1854    Figg knew Albus Dumbledore; dementors were soaring around Little Whinging, and he might never return to Hogwarts
[7928]10989    Harry's head throbbed more painfully
[7929]0   Back
[7930]328  ' whispered Aunt Petunia
[7931]7013   She was looking at Harry as she had never looked at him before
[7932]11474    And all of a sudden, for the very first time in his life, Harry fully appreciated that Aunt Petunia was his mother's sister
[7933]5448    He could not have said why this hit him so very powerfully at this moment
[7934]1354    All he knew was that he was not the only person in the room who had an inkling of what Lord Voldemort being back might mean
[7935]1695    Aunt Petunia had never in her life looked at him like that before
[7936]905    Her large, pale eyes (so unlike her sisters) were not narrowed in dislike or anger, they were wide and fearful
[7937]11812    The furious pretence that Aunt Petunia had maintained all Harry's life-that there was no magic and no world other than the world she inhabited with Uncle Vernon-seemed to have fallen away
[7938]11486   Yes,' Harry said, talking directly to Aunt Petunia now
[7939]338    He came back a month ago
[7940]326    I saw him
[7941]5169   'Her hands found Dudley's massive leather-clad shoulders and clutched them
[7942]11878   Hang on,' said Uncle Vernon, looking from his wife to Harry and back again, apparently dazed and confused by the unprecedented understanding that seemed to have sprung up between them
[7943]18    Hang on
[7944]5108    This Lord Voldything's back, you say
[7945]292   'Yes
[7946]73   'The one who murdered your parents
[7947]292   'Yes
[7948]4771   'And now he's sending dismembers after you
[7949]11640  'Looks like it,' said Harry
[7950]11879   I see,' said Uncle Vernon, looking from his white-faced wife to Harry and hitching up his trousers
[7951]11810    He seemed to be swelling, his great purple face stretching before Harry's eyes
[7952]5450    Well, that settles it,' he said, his shirt front straining as he inflated himself, you can get out of this house, boy
[7953]0  'What
[7954]10818  ' said Harry
[7955]271   You heard me-OUT
[7956]751  ' Uncle Vernon bellowed, and even Aunt Petunia and Dudley jumped
[7957]0    OUT
[7958]0   OUT
[7959]939   I should've done this years ago
[7960]6465   Owls treating the place like a rest home, puddings exploding, half the lounge destroyed, Dudley's tail, Marge bobbing around on the ceiling and that flying Ford Anglia-OUT
[7961]0   OUT
[7962]693   You've had it
[7963]23   You're history
[7964]6535   You're not staying here if some loony's after you, you're not endangering my wife and son, you're not bringing trouble down on us, if you're going the same way as your useless parents, I've had it
[7965]0   OUT
[7966]5920  'Harry stood rooted to the spot
[7967]629    The letters from the Ministry, Mr
[7968]1915    Weasley and Sirius were all crushed in his left hand
[7969]3275    Don't leave the house again, whatever you do
[7970]5350    DO NOT LEAVE YOUR AUNT AND UNCLE'S HOUSE
[7971]271   You heard me
[7972]17708  ' said Uncle Vernon, bending forwards now, his massive purple face coming so close to Harry's, he actually felt flecks of spit hit his face
[7973]489    Get going
[7974]473   You were all keen to leave half an hour ago
[7975]998   I'm right behind you
[7976]7   Get out and never darken our doorstep again
[7977]4574   Why we ever kept you in the first place, I don't know, Marge was right, it should have been the orphanage
[7978]2724    We were too damn soft for our own good, thought we could squash it out of you, thought we could turn you normal, but you've been rotten from the beginning and I've had enough-OWLS
[7979]926  'The fifth owl zoomed down the chimney so fast it actually hit the floor before zooming into the air again with a loud screech
[7980]8255    Harry raised his hand to seize the letter, which was in a scarlet envelope, but it soared straight over his head, flying directly at Aunt Petunia, who let out a scream and ducked, her arms over her face
[7981]1277    The owl dropped the red envelope on her head, turned, and flew straight back up the chimney
[7982]6133   Harry darted forwards to pick up the letter, but Aunt Petunia beat him to it
[7983]12639   You can open it if you like,' said Harry, but I'll hear what it says anyway
[7984]4763    That's a Howler
[7985]420   'Let go of it, Petunia
[7986]358  ' roared Uncle Vernon
[7987]3020    Don't touch it, it could be dangerous
[7988]10689  'It's addressed to me,' said Aunt Petunia in a shaking voice
[7989]5370    It's addressed to me, Vernon, look
[7990]369   Mrs
[7991]541    Petunia Dursley, The Kitchen, Number Four, Privet Drive-'She caught her breath, horrified
[7992]155    The red envelope had begun to smoke
[7993]245   Open it
[7994]5738  ' Harry urged her
[7995]0    Get it over with
[7996]614   It'll happen anyway
[7997]0   'No
[7998]5350   'Aunt Petunia's hand was trembling
[7999]1601    She looked wildly around the kitchen as though looking for an escape route, but too late-the envelope burst into flames
[8000]315    Aunt Petunia screamed and dropped it
[8001]1055   An awful voice filled the kitchen, echoing in the confined space, issuing from the burning letter on the table
[8002]205   REMEMBER MY LAST, PETUNIA
[8003]901   'Aunt Petunia looked as though she might faint
[8004]1006    She sank into the chair beside Dudley, her face in her hands
[8005]122    The remains of the envelope smouldered into ash in the silence
[8006]0   What is this
[8007]5407  ' Uncle Vernon said hoarsely
[8008]3041    What-I don't-Petunia
[8009]5291  'Aunt Petunia said nothing
[8010]898    Dudley was staring stupidly at his mother, his mouth hanging open
[8011]105    The silence spiralled horribly
[8012]6604    Harry was watching his aunt, utterly bewildered, his head throbbing fit to burst
[8013]190   Petunia, dear
[8014]5402  ' said Uncle Vernon timidly
[8015]121    P-Petunia
[8016]612  'She raised her head
[8017]39    She was still trembling
[8018]22    She swallowed
[8019]5593   The boy-the boy will have to stay, Vernon,' she said weakly
[8020]18   W-what
[8021]5089  'He stays,' she said
[8022]6337    She was not looking at Harry
[8023]934    She got to her feet again
[8024]0   He 
[8025]0   
[8026]0   
[8027]100    but Petunia
[8028]0   
[8029]0   
[8030]5236   'If we throw him out, the neighbours will talk,' she said
[8031]173    She was rapidly regaining her usual brisk, snappish manner, though she was still very pale
[8032]7281    They'll ask awkward questions, they'll want to know where he's gone
[8033]567    We'll have to keep him
[8034]1238   'Uncle Vernon was deflating like an old tyre
[8035]418   But Petunia, dear-'Aunt Petunia ignored him
[8036]6064    She turned to Harry
[8037]5602   You're to stay in your room,' she said
[8038]334    You're not to leave the house
[8039]177    Now get to bed
[8040]8440   'Harry didn't move
[8041]13   Who was that Howler from
[8042]3349  'Don't ask questions,' Aunt Petunia snapped
[8043]137   Are you in touch with wizards
[8044]499  'I told you to get to bed
[8045]898  'What did it mean
[8046]105   Remember the last what
[8047]177  'Go to bed
[8048]436  'How come-
[8049]553  'YOU HEARD YOUR AUNT, NOW GO UP TO BED
[8050]59  '  J
[8051]56   K
[8052]742    RowlingHarry Potter&The Order of the Phoenix 
[8053]0    
[8054]0    
[8055]0    
[8056]0    
[8057]0    
[8058]0    
[8059]0    
[8060]0    
[8061]0    
[8062]0    
[8063]0    
[8064]0    
[8065]0    
[8066]0    
[8067]697    Lionfish 11/Nov/2007     Chapter Three     The Advance GuardContents  Prev Chapter  Next Chapter  
[8068]1925     I've just been attacked by dementors and I might be expelled from Hogwarts
[8069]7275    I want to know what's going on and when I'm going to get out of here
[8070]6871   Harry copied these words on to three separate pieces of parchment the moment he reached the desk in his dark bedroom
[8071]4438    He addressed the first to Sirius, the second to Ron, and the third to Hermione
[8072]520    His owl, Hedwig, was off hunting; her cage stood empty on the desk
[8073]7417    Harry paced the bedroom waiting for her to come back, his head pounding, his brain too busy for sleep even though his eyes stung and itched with tiredness
[8074]1168    His back ached from hauling Dudley home, and the two lumps on his head where the window and Dudley had hit him were throbbing painfully
[8075]1199   Up and down he paced, consumed with anger and frustration, grinding his teeth and clenching his fists, casting angry looks out at the empty, star-strewn sky every time he passed the window
[8076]530    Dementors sent to get him, Mrs
[8077]1466    Figg and Mundungus Fletcher tailing him in secret, then suspension from Hogwarts and a hearing at the Ministry of Magic-and still no one was telling him what was going on
[8078]13   And what, what, had that Howler been about
[8079]676   Whose voice had echoed so horribly, so menacingly, through the kitchen
[8080]50  Why was he still trapped here without information
[8081]743   Why was everyone treating him like some naughty kid
[8082]3436   Don't do any more magic, stay in the house
[8083]0   
[8084]0   
[8085]1353   He kicked his school trunk as he passed it, but far from relieving his anger he felt worse, as he now had a sharp pain in his toe to deal with in addition to the pain in the rest of his body
[8086]2211   Just as he limped past the window, Hedwig soared through it with a soft rustle of wings like a small ghost
[8087]556   About time
[8088]5849  ' Harry snarled, as she landed lightly on top of her cage
[8089]1486    You can put that down, I've got work for you
[8090]5826  'Hedwig's large, round, amber eyes gazed at him reproachfully over the dead frog clamped in her beak
[8091]11596   Come here,' said Harry, picking up the three small rolls of parchment and a leather thong and tying the scrolls to her scaly leg
[8092]8432    Take these straight to Sirius, Ron and Hermione and don't come back here without good long replies
[8093]2182    Keep pecking them till they've written decent-length answers if you've got to
[8094]88    Understand
[8095]456  'Hedwig gave a muffled hooting noise, her beak still full of frog
[8096]11307   Get going, then,' said Harry
[8097]258   She took off immediately
[8098]7497    The moment she'd gone, Harry threw himself down on his bed without undressing and stared at the dark ceiling
[8099]1406    In addition to every other miserable feeling, he now felt guilty that he'd been irritable with Hedwig; she was the only friend he had at number four, Privet Drive
[8100]5321    But he'd make it up to her when she came back with the answers from Sirius, Ron and Hermione
[8101]2785   They were bound to write back quickly; they couldn't possibly ignore a Dementor attack
[8102]877    He'd probably wake up tomorrow to three fat letters full of sympathy and plans for his immediate removal to The Burrow
[8103]573    And with that comforting idea, sleep rolled over him, stifling all further thought
[8104]2948   --------------------------------------------------------------------------------But Hedwig didn't return next morning
[8105]6076    Harry spent the day in his bedroom, leaving it only to go to the bathroom
[8106]1359    Three times that day Aunt Petunia shoved food into his room through the cat-flap Uncle Vernon had installed three summers ago
[8107]7475    Every time Harry heard her approaching he tried to question her about the Howler, but he might as well have interrogated the doorknob for all the answers he got
[8108]293    Otherwise, the Dursleys kept well clear of his bedroom
[8109]9459    Harry couldn't see the point of forcing his company on them; another row would achieve nothing except perhaps make him so angry he'd perform more illegal magic
[8110]274   So it went on for three whole days
[8111]8380    Harry was alternately filled with restless energy that made him unable to settle to anything, during which time he paced his bedroom, furious at the whole lot of them for leaving him to stew in this mess, and with a lethargy so complete that he could lie on his bed for an hour at a time, staring dazedly into space, aching with dread at the thought of the Ministry hearing
[8112]1   What if they ruled against him
[8113]678   What if he was expelled and his wand was snapped in half
[8114]0   What would he do, where would he go
[8115]1339   He could not return to living full-time with the Dursleys, not now he knew the other world, the one to which he really belonged
[8116]0   
[8117]0   
[8118]0   
[8119]6912    Might he be able to move into Sirius's house, as Sirius had suggested a year ago, before he had been forced to flee from the Ministry
[8120]5905   Would Harry be allowed to live there alone, given that he was still underage
[8121]322   Or would the matter of where he went next be decided for him
[8122]117   Had his breach of the International Statute of Secrecy been severe enough to land him in a cell in Azkaban
[8123]6501   Whenever this thought occurred, Harry invariably slid off his bed and began pacing again
[8124]11792   On the fourth night after Hedwig's departure Harry was lying in one of his apathetic phases, staring at the ceiling, his exhausted mind quite blank, when his uncle entered his bedroom
[8125]6534    Harry looked slowly around at him
[8126]612    Uncle Vernon was wearing his best suit and an expression of enormous smugness
[8127]5575   We're going out,' he said
[8128]95   Sorry
[8129]1020  'We-that is to say, your aunt, Dudley and I-are going out
[8130]11593   'Fine,' said Harry dully, looking back at the ceiling
[8131]510   You are not to leave your bedroom while we are away
[8132]82   'OK
[8133]46   'You are not to touch the television, the stereo, or any of our possessions
[8134]557   'Right
[8135]48   'You are not to steal food from the fridge
[8136]82   'OK
[8137]1003   'I am going to lock your door
[8138]0   'You do that
[8139]7222   'Uncle Vernon glared at Harry, clearly suspicious of this lack of argument, then stomped out of the room and closed the door behind him
[8140]11386    Harry heard the key turn in the lock and Uncle Vernon's footsteps walking heavily down the stairs
[8141]1036    A few minutes later he heard the slamming of car doors, the rumble of an engine, and the unmistakeable sound of the car sweeping out of the drive
[8142]6047   Harry had no particular feeling about the Dursleys leaving
[8143]225    It made no difference to him whether they were in the house or not
[8144]265    He could not even summon the energy to get up and turn on his bedroom light
[8145]2428    The room grew steadily darker around him as he lay listening to the night sounds through the window he kept open all the time, waiting for the blessed moment when Hedwig returned
[8146]222   The empty house creaked around him
[8147]7    The pipes gurgled
[8148]6009    Harry lay there in a kind of stupor, thinking of nothing, suspended in misery
[8149]583   Then, quite distinctly, he heard a crash in the kitchen below
[8150]226   He sat bolt upright, listening intently
[8151]5440    The Dursleys couldn't be back, it was much too soon, and in any case he hadn't heard their car
[8152]199   There was silence for a few seconds, then voices
[8153]1423   Burglars, he thought, sliding off the bed on to his feet-but a split second later it occurred to him that burglars would keep their voices down, and whoever was moving around in the kitchen was certainly not troubling to do so
[8154]1436   He snatched up his wand from the bedside table and stood facing his bedroom door, listening with all his might
[8155]1434    Next moment, he jumped as the lock gave a loud click and his door swung open
[8156]7079   Harry stood motionless, staring through the open doorway at the dark upstairs landing, straining his ears for further sounds, but none came
[8157]1406    He hesitated for a moment, then moved swiftly and silently out of his room to the head of the stairs
[8158]203   His heart shot upwards into his throat
[8159]2034    There were people standing in the shadowy hall below, silhouetted against the streetlight glowing through the glass door; eight or nine of them, all, as far as he could see, looking up at him
[8160]11180   Lower your wand, boy, before you take someone's eye out,' said a low, growling voice
[8161]10598   Harry's heart was thumping uncontrollably
[8162]1915    He knew that voice, but he did not lower his wand
[8163]851   Professor Moody
[8164]5103  ' he said uncertainly
[8165]6543   I don't know so much about Professor",' growled the voice, never got round to much teaching, did I
[8166]359   Get down here, we want to see you properly
[8167]7701   'Harry lowered his wand slightly but did not relax his grip on it, nor did he move
[8168]402    He had very good reason to be suspicious
[8169]19200    He had recently spent nine months in what he had thought was Mad-Eye Moody's company only to find out that it wasn't Moody at all, but an impostor; an impostor, moreover, who It's all right, Harry
[8170]1473    We've come to take you away
[8171]10626   'Harry's heart leapt
[8172]3674    He knew that voice, too, though he hadn't heard it for over a year
[8173]936   P-Professor Lupin
[8174]5088  ' he said disbelievingly
[8175]0    Is that you
[8176]459  'Why are we all standing in the dark
[8177]10498  ' said a third voice, this one completely unfamiliar, a woman's
[8178]5    Lumos
[8179]900   'A wand-tip flared, illuminating the hall with magical light
[8180]5746    Harry blinked
[8181]1246    The people below were crowded around the foot of the stairs, gazing up at him intently, some craning their heads for a better look
[8182]369   Remus Lupin stood nearest to him
[8183]12491    Though still quite young, Lupin looked tired and rather ill; he had more grey hairs than when Harry had last said good-bye to him and his robes were more patched and shabbier than ever
[8184]6095    Nevertheless, he was smiling broadly at Harry, who tried to smile back despite his state of shock
[8185]7731   Oooh, he looks just like I thought he would,' said the witch who was holding her lit wand aloft
[8186]2437    She looked the youngest there; she had a pale heart-shaped face, dark twinkling eyes, and short spiky hair that was a violent shade of violet
[8187]5735    Wotcher, Harry
[8188]6967  'Yeah, I see what you mean, Remus,' said a bald black wizard standing furthest back; he had a deep, slow voice and wore a single gold hoop in his ear
[8189]1001    He looks exactly like James
[8190]5839   'Except the eyes,' said a wheezy-voiced, silver-haired wizard at the back
[8191]5241    Lily's eyes
[8192]7491   'Mad-Eye Moody, who had long grizzled grey hair and a large chunk missing from his nose, was squinting suspiciously at Harry through his mismatched eyes
[8193]6783    One eye was small, dark and beady, the other large, round and electric blue-the magical eye that could see through walls, doors, and the back of Moody's own head
[8194]5329   Are you quite sure it's him, Lupin
[8195]32  ' he growled
[8196]929    It'd be a nice lookout if we bring back some Death Eater impersonating him
[8197]1462    We ought to ask him something only the real Potter would know
[8198]82    Unless anyone brought any Veritaserum
[8199]5872  'Harry, what form does your Patronus take
[8200]520  ' Lupin asked
[8201]10869   A stag,' said Harry nervously
[8202]10241   That's him, Mad-Eye,' said Lupin
[8203]6738   Very conscious of everybody still staring at him, Harry descended the stairs, stowing his wand in the back pocket of his jeans as he came
[8204]3482   Don't put your wand there, boy
[8205]147  ' roared Moody
[8206]5    What if it ignited
[8207]1123   Better wizards than you have lost buttocks, you know
[8208]6205  'Who d'you know who's lost a buttock
[8209]692  ' the violet-haired woman asked Mad-Eye interestedly
[8210]1413   Never you mind, you just keep your wand out of your back pocket
[8211]273  ' growled Mad-Eye
[8212]420    Elementary wand-safety, nobody bothers about it any more
[8213]91   ' He stumped off towards the kitchen
[8214]1087    And I saw that,' he added irritably, as the woman rolled her eyes towards the ceiling
[8215]11129   Lupin held out his hand and shook Harry's
[8216]0   How are you
[8217]6749  ' he asked, looking closely at Harry
[8218]79   F-fine
[8219]0   
[8220]0   
[8221]5936   'Harry could hardly believe this was real
[8222]1332    Four weeks with nothing, not the tiniest hint of a plan to remove him from Privet Drive, and suddenly a whole bunch of wizards was standing matter-of-factly in the house as though this was a long-standing arrangement
[8223]620    He glanced at the people surrounding Lupin; they were still gazing avidly at him
[8224]609    He felt very conscious of the fact that he had not combed his hair for four days
[8225]825   I'm-you're really lucky the Dursleys are out
[8226]0   
[8227]0   
[8228]23   ' he mumbled
[8229]53   Lucky, ha
[8230]5179  ' said the violet-haired woman
[8231]359    It was me who lured them out of the way
[8232]1307    Sent a letter by Muggle post telling them they'd been short-listed for the All-England Best Kept Suburban Lawn Competition
[8233]661    They're heading off to the prize-giving right now
[8234]0   
[8235]0   
[8236]0   
[8237]562    Or they think they are
[8238]11634   'Harry had a fleeting vision of Uncle Vernon's face when he realised there was no All-England Best Kept Suburban Lawn Competition
[8239]2428   We are leaving, aren't we
[8240]356  ' he asked
[8241]74    Soon
[8242]6206  'Almost at once,' said Lupin, we're just waiting for the all-clear
[8243]489   'Where are we going
[8244]13   The Burrow
[8245]6112  ' Harry asked hopefully
[8246]17372   Not The Burrow, no,' said Lupin, motioning Harry towards the kitchen; the little knot of wizards followed, all still eyeing Harry curiously
[8247]2    Too risky
[8248]849    We've set up Headquarters somewhere un-detectable
[8249]4829    It's taken a while
[8250]0   
[8251]0   
[8252]0   
[8253]1262   'Mad-Eye Moody was now sitting at the kitchen table swigging from a hip flask, his magical eye spinning in all directions, taking in the Dursleys' many labour-saving appliances
[8254]6288   This is Alastor Moody, Harry,' Lupin continued, pointing towards Moody
[8255]11877   Yeah, I know,' said Harry uncomfortably
[8256]2245    It felt odd to be introduced to somebody he'd thought he'd known for a year
[8257]13035   And this is Nymphadora-'Don't call me Nymphadora, Remus,' said the young witch with a shudder, it's Tonks
[8258]389   'Nymphadora Tonks, who prefers to be known by her surname only,' finished Lupin
[8259]430   So would you if your fool of a mother had called you Nymphadora,' muttered Tonks
[8260]1642   And this is Kingsley Shacklebolt'-he indicated the tall black wizard, who bowed-'Elphias Doge'-the wheezy-voiced wizard nodded-'Dedalus Diggle-'We've met before,' squeaked the excitable Diggle, dropping his violet-coloured top hat
[8261]1688   -Emmeline Vance'-a stately-looking witch in an emerald green shawl inclined her head-'Sturgis Podmore'-a square-jawed wizard with thick straw-coloured hair winked-'and Hestia Jones
[8262]424   ' A pink-cheeked, black-haired witch waved from next to the toaster
[8263]6242   Harry inclined his head awkwardly at each of them as they were introduced
[8264]600    He wished they would look at something other than him; it was as though he had suddenly been ushered on-stage
[8265]41    He also wondered why so many of them were there
[8266]17201   A surprising number of people volunteered to come and get you,' said Lupin, as though he had read Harry's mind; the corners of his mouth twitched slightly
[8267]5670   Yeah, well, the more the better,' said Moody darkly
[8268]492    We're your guard, Potter
[8269]11671   'We're just waiting for the signal to tell us it's safe to set off,' said Lupin, glancing out of the kitchen window
[8270]1495    We've got about fifteen minutes
[8271]2432   'Very clean, aren't they, these Muggles
[8272]6338  ' said the witch called Tonks, who was looking around the kitchen with great interest
[8273]10486    My dad's Muggle-born and he's a right old slob
[8274]1066    I suppose it varies, just as it does with wizards
[8275]11216  'Er-yeah,' said Harry
[8276]13656    Look'-he turned back to Lupin-'what's going on, I haven't heard anything from anyone, what's Vol-
[8277]647  'Several of the witches and wizards made odd hissing noises; Dedalus Diggle dropped his hat again, and Moody growled, Shut up
[8278]0  'What
[8279]10818  ' said Harry
[8280]15953   We're not discussing anything here, it's too risky,' said Moody, turning his normal eye on Harry
[8281]377    His magical eye remained focused on the ceiling
[8282]2231    Damn it,' he added angrily, putting a hand up to the magical eye, it keeps getting stuck-ever since that scum wore it-'And with a nasty squelching sound much like a plunger being pulled from a sink, he popped out his eye
